yearRequest,monthRequest,dateRequest,yearClosed,monthClosed,dateClosed,srvrequestid,caseagedays,status,servicename,latitude,longitude,district
2021,Feb,2021-02-22,2021,Mar,2021-03-03,3252279,9,Closed,Pothole,32.7622454,-117.06572,9
2021,Feb,2021-02-22,2021,Mar,2021-03-05,3252291,11,Closed,Pothole,32.6709398,-117.0461,4
2021,Feb,2021-02-22,2021,Mar,2021-03-26,3252303,32,Closed,Pothole,32.8062508,-117.01658,7
2021,Feb,2021-02-22,2021,Mar,2021-03-08,3252328,14,Closed,Pothole,32.8721179,-117.23702,1
2021,Feb,2021-02-22,2021,Mar,2021-03-02,3252330,8,Closed,Pothole,32.8202147,-117.17343,6
2021,Feb,2021-02-22,2021,Feb,2021-02-23,3252401,1,Closed,Pothole,32.9517284,-117.10769,5
2021,Feb,2021-02-22,2021,Mar,2021-03-22,3252455,28,Closed,Pothole,32.74077,-117.17892,3
2021,Feb,2021-02-22,2021,Mar,2021-03-02,3252481,8,Closed,Pothole,32.7357116,-117.1735,3
2021,Feb,2021-02-22,2021,Mar,2021-03-02,3252482,8,Closed,Pothole,32.7358366,-117.17363,3
2021,Feb,2021-02-22,2021,Mar,2021-03-22,3252483,28,Closed,Pothole,32.7364833,-117.17519,3
2021,Feb,2021-02-22,2021,Feb,2021-02-23,3252484,1,Closed,Pothole,32.739425,-117.17881,2
2021,Feb,2021-02-22,,,,3252486,34,In Process,Pothole,32.7389416,-117.17857,2
2021,Feb,2021-02-22,,,,3252487,34,In Process,Pothole,32.7389299,-117.17859,2
2021,Feb,2021-02-22,2021,Feb,2021-02-23,3252490,1,Closed,Pothole,32.7380916,-117.1779,2
2021,Feb,2021-02-22,,,,3252491,34,In Process,Pothole,32.7378583,-117.17768,2
2021,Feb,2021-02-22,2021,Feb,2021-02-26,3252500,4,Closed,Pothole,32.7499942,-117.16052,3
2021,Feb,2021-02-22,,,,3252511,34,In Process,Pothole,32.5628947,-117.04928,8
2021,Feb,2021-02-22,,,,3252520,34,In Process,Pothole,32.7457397,-117.15268,3
2021,Feb,2021-02-22,2021,Mar,2021-03-24,3252594,30,Closed,Pothole,32.9268714,-117.14086,6
2021,Feb,2021-02-22,2021,Mar,2021-03-02,3252599,8,Closed,Pothole,32.9091674,-117.1313,6
2021,Feb,2021-02-22,,,,3252615,34,In Process,Pothole,32.5675318,-116.94083,8
2021,Feb,2021-02-22,,,,3252734,34,In Process,Pothole,33.0246371,-117.05683,5
2021,Feb,2021-02-22,2021,Mar,2021-03-08,3252813,14,Closed,Pothole,32.7014376,-117.06948,4
2021,Feb,2021-02-22,2021,Mar,2021-03-05,3252864,10,Closed,Pothole,32.6771093,-117.04513,4
2021,Feb,2021-02-22,2021,Mar,2021-03-08,3252869,14,Closed,Pothole,32.7830999,-117.09856,7
2021,Feb,2021-02-23,2021,Feb,2021-02-25,3252887,2,Closed,Pothole,32.7504483,-117.12958,3
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3252890,0,Referred,Pothole,32.7527652,-117.15789,3
2021,Feb,2021-02-23,2021,Feb,2021-02-25,3252892,2,Closed,Pothole,32.7505986,-117.12954,3
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3252920,1,Closed,Pothole,32.7894681,-117.14507,7
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3252951,0,Closed,Pothole,32.7188913,-117.15472,3
2021,Feb,2021-02-23,2021,Mar,2021-03-02,3252955,7,Closed,Pothole,32.7168422,-117.15471,3
2021,Feb,2021-02-23,2021,Mar,2021-03-08,3252996,13,Closed,Pothole,32.7832412,-117.09881,7
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3253062,0,Closed,Pothole,32.7624119,-117.25232,2
2021,Feb,2021-02-23,,,,3253073,34,In Process,Pothole,32.7601329,-117.251,2
2021,Feb,2021-02-23,,,,3253074,34,In Process,Pothole,32.7605655,-117.25102,2
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3253075,0,Referred,Pothole,32.8719368,-117.22896,1
2021,Feb,2021-02-23,,,,3253077,34,In Process,Pothole,32.7619492,-117.25227,2
2021,Feb,2021-02-23,2021,Mar,2021-03-03,3253114,8,Closed,Pothole,32.832717,-117.16376,6
2021,Feb,2021-02-23,2021,Feb,2021-02-25,3253124,2,Closed,Pothole,32.7504218,-117.1295,3
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3253169,0,Referred,Pothole,32.9636735,-117.10291,5
2021,Feb,2021-02-23,,,,3253193,34,In Process,Pothole,32.9093686,-117.10091,5
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3253245,1,Closed,Pothole,32.8460363,-117.24308,1
2021,Feb,2021-02-23,2021,Feb,2021-02-23,3253265,0,Referred,Pothole,32.7505073,-117.12938,3
2021,Feb,2021-02-23,2021,Mar,2021-03-17,3253324,22,Closed,Pothole,32.75486,-117.10715,9
2021,Feb,2021-02-23,,,,3253340,33,In Process,Pothole,32.680737,-117.11758,8
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3253363,1,Closed,Pothole,32.803468,-117.04628,7
2021,Feb,2021-02-23,2021,Mar,2021-03-01,3253367,6,Closed,Pothole,32.8035871,-117.04603,7
2021,Feb,2021-02-23,2021,Mar,2021-03-03,3253395,8,Closed,Pothole,32.7509838,-117.09407,9
2021,Feb,2021-02-23,2021,Mar,2021-03-03,3253398,8,Closed,Pothole,32.7879477,-117.19149,2
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3253641,1,Closed,Pothole,32.7830943,-117.19817,2
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3253649,1,Closed,Pothole,32.7830943,-117.19817,2
2021,Feb,2021-02-24,2021,Feb,2021-02-26,3255862,1,Closed,Pothole,32.7649083,-117.06088,9
2021,Feb,2021-02-23,2021,Mar,2021-03-16,3253652,21,Closed,Pothole,32.9830168,-117.0761,5
2021,Feb,2021-02-23,2021,Feb,2021-02-24,3253672,1,Closed,Pothole,32.7905216,-117.08249,7
2021,Feb,2021-02-23,2021,Mar,2021-03-16,3253712,21,Closed,Pothole,32.8717835,-117.23396,1
